,0
0,815.764
1,585.688
2,705.788
3,479.344
4,479.344
5,714.078
6,707.492
7,557.894
8,485.016
9,486.432
10,486.432
11,714.078
12,559.992
13,486.432
14,815.764
15,585.688
16,578.996
17,488.634
18,585.688
19,479.236
20,714.078
21,557.894
22,478.404
23,714.078
24,478.404
25,707.194
26,707.492
27,705.872
28,585.688
29,487.082
30,705.872
31,487.082
32,705.872
33,578.184
34,578.184
35,559.992
36,705.788
37,707.492
38,488.634
39,705.788
40,487.082
41,478.404
42,714.078
43,705.788
44,707.194
45,484.658
46,486.432
47,478.404
48,486.432
49,707.194
50,486.432
51,714.078
52,585.688
53,485.016
54,705.788
55,478.404
56,578.444
57,480.968
58,585.688
59,705.872
60,586.114
61,487.082
62,714.078
63,486.432
64,485.016
65,559.992
66,815.764
67,487.082
68,479.236
69,559.992
70,479.236
71,578.996
72,484.658
73,578.444
74,480.968
75,585.688
76,714.078
77,480.968
78,479.236
79,480.968
80,815.764
81,714.078
82,585.688
83,585.688
84,586.114
85,929.48
86,486.432
87,486.432
88,480.402
89,714.078
90,559.992
91,479.344
92,479.344
93,705.872
94,707.194
95,929.48
96,479.236
97,578.184
98,485.016
99,480.968
100,488.634
101,487.49
102,714.078
103,705.788
104,578.996
105,705.872
106,479.236
107,485.016
108,929.48
109,815.764
110,479.344
111,557.894
112,485.016
113,585.688
114,487.49
115,478.404
116,480.402
117,714.078
118,479.344
119,479.344
120,565.34
121,714.078
122,487.082
123,578.996
124,557.894
125,578.444
126,485.016
127,707.492
128,557.894
129,585.688
130,565.34
131,714.078
132,578.444
133,480.968
134,559.992
135,565.34
136,478.404
137,479.344
138,586.114
139,578.444
140,707.492
141,487.082
142,479.236
143,488.634
144,559.992
145,488.634
146,565.34
147,479.236
148,480.968
149,565.34
150,557.894
151,929.48
152,707.194
153,480.968
154,478.404
155,477.85
156,585.688
157,559.992
158,484.658
159,929.48
160,705.872
161,485.016
162,578.996
163,487.49
164,479.236
165,714.078
166,485.016
167,487.49
168,559.992
169,557.894
170,565.34
171,480.402
172,714.078
173,705.872
174,486.432
175,478.404
176,815.764
177,480.968
178,705.872
179,480.968
180,585.688
181,565.34
182,578.444
183,707.194
184,815.764
185,484.658
186,705.872
187,488.634
188,705.788
189,815.764
190,480.968
191,705.788
192,585.688
193,578.444
194,707.492
195,565.34
196,479.236
197,478.404
198,488.634
199,707.492
200,485.016
201,479.236
202,479.344
203,557.894
204,557.894
205,486.432
206,487.49
207,707.492
208,477.85
209,705.788
210,478.404
211,815.764
212,487.49
213,485.016
214,714.078
215,484.658
216,484.658
217,480.968
218,486.432
219,486.432
220,705.872
221,707.492
222,557.894
223,484.658
224,488.634
225,479.236
226,477.85
227,487.082
228,480.402
229,705.872
230,479.344
231,585.688
232,487.082
233,707.194
234,487.082
235,705.788
236,485.016
237,578.184
238,488.634
239,485.016
240,486.432
241,479.344
242,488.634
243,479.236
244,487.49
245,484.658
246,480.968
247,557.894
248,565.34
249,487.082
250,557.894
251,487.49
252,487.082
253,487.082
254,486.432
255,578.996
256,488.634
257,714.078
